country,tag,count
ARE,actionscript-3,80
ARE,android,2613
ARE,angularjs,643
ARE,apache-spark,6
ARE,asp.net,1491
ARE,assembly,5
ARE,awk,16
ARE,bash,52
ARE,blackberry,103
ARE,c,228
ARE,c#,2836
ARE,c++,410
ARE,cassandra,18
ARE,cocoa,69
ARE,coffeescript,14
ARE,crystal-reports,51
ARE,css,1222
ARE,cuda,3
ARE,cython,2
ARE,d3.js,20
ARE,dart,4
ARE,delphi,23
ARE,django,245
ARE,erlang,22
ARE,f#,34
ARE,flash,80
ARE,flex,110
ARE,fortran,1
ARE,go,31
ARE,grails,82
ARE,groovy,18
ARE,gruntjs,10
ARE,haskell,11
ARE,html,1777
ARE,ios,1503
ARE,iphone,1006
ARE,java,1940
ARE,javascript,3201
ARE,jquery,2305
ARE,json,489
ARE,latex,1
ARE,lisp,1
ARE,lua,4
ARE,magento,111
ARE,mapreduce,13
ARE,matlab,21
ARE,mongodb,107
ARE,mono,7
ARE,ms-access,36
ARE,mysql,1467
ARE,node.js,271
ARE,nosql,11
ARE,objective-c,918
ARE,opencv,50
ARE,opengl,4
ARE,pascal,2
ARE,perl,36
ARE,php,4127
ARE,postgresql,47
ARE,powershell,22
ARE,python,724
ARE,qt,86
ARE,r,85
ARE,redis,12
ARE,ruby,149
ARE,ruby-on-rails,248
ARE,rust,13
ARE,sass,11
ARE,scala,14
ARE,scheme,2
ARE,silverlight,53
ARE,smalltalk,1
ARE,sql,992
ARE,sql-server,501
ARE,sqlite,108
ARE,svg,24
ARE,swift,388
ARE,tcl,1
ARE,tsql,93
ARE,typescript,14
ARE,vb.net,322
ARE,vb6,16
ARE,vba,62
ARE,vbscript,30
ARE,winapi,18
ARE,wpf,179
ARE,xaml,111
ARE,xml,329
ARE,xna,3
ARE,xpath,44
ARE,xslt,72
AFG,android,126
AFG,angularjs,48
AFG,asp.net,207
AFG,assembly,2
AFG,bash,1
AFG,c,5
AFG,c#,430
AFG,c++,8
AFG,crystal-reports,13
AFG,css,186
AFG,d3.js,3
AFG,django,7
AFG,gruntjs,1
AFG,html,272
AFG,ios,36
AFG,iphone,2
AFG,java,157
AFG,javascript,378
AFG,jquery,397
AFG,json,20
AFG,mongodb,14
AFG,ms-access,4
AFG,mysql,300
AFG,node.js,13
AFG,objective-c,15
AFG,opencv,1
AFG,perl,3
AFG,php,618
AFG,postgresql,7
AFG,python,16
AFG,qt,3
AFG,sass,1
AFG,silverlight,1
