tag,count
actionscript-3,54803
android,1078562
angularjs,234614
apache-spark,14784
asp.net,481874
assembly,24327
awk,28434
bash,113910
blackberry,12736
c,379822
c#,1691808
c++,733109
cassandra,11565
clojure,19848
cobol,1325
cocoa,53659
coffeescript,12714
common-lisp,5005
crystal-reports,10967
css,668046
cuda,10597
cython,2106
d,3005
d3.js,18782
dart,8345
delphi,66842
django,170290
elisp,4499
erlang,11022
f#,19345
flash,47426
flex,36929
fortran,6984
go,23388
grails,34024
groovy,22258
gruntjs,9714
haskell,41939
html,899155
ios,593499
iphone,359251
java,1668106
javascript,1777511
jquery,1199660
json,226102
julia-lang,2113
jython,2376
latex,6911
lisp,8318
lua,12545
magento,45818
mapreduce,10961
matlab,66542
mongodb,77568
mono,11414
ms-access,42197
mysql,622332
node.js,157083
nosql,10357
objective-c,401039
opencv,29679
opengl,30034
pascal,2425
perl,87190
php,1445956
postgresql,81224
postscript,994
powershell,48595
python,843328
qt,62677
r,158100
redis,10700
ruby,274640
ruby-on-rails,371717
rust,6318
sass,11322
scala,80801
scheme,8350
silverlight,46508
smalltalk,2116
sql,587470
sql-server,298561
sqlite,65841
svg,24409
swift,124398
tcl,6988
tsql,79857
typescript,21013
vb.net,140203
vb6,14380
vba,73012
vbscript,14614
winapi,41405
wolfram-mathematica,4465
wpf,177294
xaml,56007
xml,195729
xna,9808
xpath,30850
xslt,37260
