tag,date,count
actionscript-3,2008,881
actionscript-3,2009,5844
actionscript-3,2010,9278
actionscript-3,2011,12274
actionscript-3,2012,9769
actionscript-3,2013,7742
actionscript-3,2014,4854
actionscript-3,2015,3125
actionscript-3,2016,1036
android,2008,111
android,2009,3372
android,2010,39151
android,2011,129439
android,2012,186151
android,2013,203855
android,2014,194846
android,2015,189466
android,2016,132171
angularjs,2009,1
angularjs,2010,3
angularjs,2011,23
angularjs,2012,2233
angularjs,2013,25615
angularjs,2014,59653
angularjs,2015,85781
angularjs,2016,61305
apache-spark,2011,1
apache-spark,2012,1
apache-spark,2013,63
apache-spark,2014,1491
apache-spark,2015,6641
apache-spark,2016,6587
asp.net,2008,12745
asp.net,2009,53311
asp.net,2010,64329
asp.net,2011,83982
asp.net,2012,75951
asp.net,2013,71628
asp.net,2014,53230
asp.net,2015,40977
asp.net,2016,25721
assembly,2008,374
assembly,2009,1836
assembly,2010,2893
assembly,2011,3203
assembly,2012,3658
assembly,2013,3954
assembly,2014,3230
assembly,2015,3109
assembly,2016,2070
awk,2008,97
awk,2009,606
awk,2010,1094
awk,2011,1855
awk,2012,3749
awk,2013,5827
awk,2014,6035
awk,2015,5157
awk,2016,4014
bash,2008,1024
bash,2009,3921
bash,2010,6414
bash,2011,10131
bash,2012,15792
bash,2013,19707
bash,2014,21636
bash,2015,20263
bash,2016,15022
blackberry,2008,99
blackberry,2009,1091
blackberry,2010,2316
blackberry,2011,4208
blackberry,2012,3382
blackberry,2013,1169
blackberry,2014,291
blackberry,2015,156
blackberry,2016,24
c,2008,5696
c,2009,25435
c,2010,41612
c,2011,48824
c,2012,55434
c,2013,63865
c,2014,58044
c,2015,52575
c,2016,28337
c#,2008,29462
c#,2009,141181
c#,2010,192917
c#,2011,250593
c#,2012,255369
c#,2013,264451
c#,2014,228161
c#,2015,199842
c#,2016,129832
c++,2008,14530
c++,2009,54443
c++,2010,83509
c++,2011,101228
c++,2012,108854
c++,2013,118496
c++,2014,106604
c++,2015,91561
c++,2016,53884
cassandra,2009,19
cassandra,2010,463
cassandra,2011,834
cassandra,2012,1195
cassandra,2013,1882
cassandra,2014,2110
cassandra,2015,2930
cassandra,2016,2132
clojure,2008,115
clojure,2009,962
clojure,2010,1982
clojure,2011,2812
clojure,2012,3511
clojure,2013,3294
clojure,2014,2976
clojure,2015,2500
clojure,2016,1696
cobol,2008,47
cobol,2009,168
cobol,2010,178
cobol,2011,184
cobol,2012,188
cobol,2013,158
cobol,2014,174
cobol,2015,132
cobol,2016,96
cocoa,2008,1117
cocoa,2009,7141
cocoa,2010,8791
cocoa,2011,9876
cocoa,2012,9366
cocoa,2013,7095
cocoa,2014,4585
cocoa,2015,3856
cocoa,2016,1832
coffeescript,2009,2
coffeescript,2010,44
coffeescript,2011,1567
coffeescript,2012,2993
coffeescript,2013,3095
coffeescript,2014,2468
coffeescript,2015,1779
coffeescript,2016,766
common-lisp,2008,149
common-lisp,2009,348
common-lisp,2010,520
common-lisp,2011,583
common-lisp,2012,690
common-lisp,2013,769
common-lisp,2014,696
common-lisp,2015,802
common-lisp,2016,448
crystal-reports,2008,240
crystal-reports,2009,1099
crystal-reports,2010,1279
crystal-reports,2011,1417
crystal-reports,2012,1869
crystal-reports,2013,1902
crystal-reports,2014,1399
crystal-reports,2015,1024
crystal-reports,2016,738
css,2008,4336
css,2009,20899
css,2010,37070
css,2011,67500
css,2012,91795
css,2013,120530
css,2014,127083
css,2015,120584
css,2016,78249
cuda,2008,69
cuda,2009,147
cuda,2010,534
cuda,2011,1537
cuda,2012,2004
cuda,2013,2405
cuda,2014,1613
cuda,2015,1322
cuda,2016,966
cython,2008,1
cython,2009,34
cython,2010,111
cython,2011,235
cython,2012,239
cython,2013,338
cython,2014,406
cython,2015,459
cython,2016,283
d,2008,65
d,2009,210
d,2010,291
d,2011,507
d,2012,474
d,2013,502
d,2014,474
d,2015,307
d,2016,175
d3.js,2011,55
d3.js,2012,1502
d3.js,2013,3901
d3.js,2014,4464
d3.js,2015,4963
d3.js,2016,3897
dart,2011,66
dart,2012,651
dart,2013,2052
dart,2014,3497
dart,2015,1401
dart,2016,678
delphi,2008,2052
delphi,2009,8763
delphi,2010,10086
delphi,2011,12035
delphi,2012,9429
delphi,2013,8585
delphi,2014,6919
delphi,2015,5698
delphi,2016,3275
django,2008,980
django,2009,9409
django,2010,15158
django,2011,21534
django,2012,25384
django,2013,26765
django,2014,25341
django,2015,27381
django,2016,18338
elisp,2008,92
elisp,2009,470
elisp,2010,596
elisp,2011,535
elisp,2012,781
elisp,2013,859
elisp,2014,711
elisp,2015,293
elisp,2016,162
erlang,2008,152
erlang,2009,1129
erlang,2010,1314
erlang,2011,1618
erlang,2012,1546
erlang,2013,1345
erlang,2014,1561
erlang,2015,1360
erlang,2016,997
f#,2008,358
f#,2009,1592
f#,2010,2843
f#,2011,2908
f#,2012,2605
f#,2013,2496
f#,2014,2505
f#,2015,2464
f#,2016,1574
flash,2008,1436
flash,2009,6675
flash,2010,9257
flash,2011,10846
flash,2012,7593
flash,2013,5077
flash,2014,3486
flash,2015,2229
flash,2016,827
flex,2008,1290
flex,2009,6797
flex,2010,8680
flex,2011,9086
flex,2012,5637
flex,2013,2997
flex,2014,1398
flex,2015,795
flex,2016,249
fortran,2008,61
fortran,2009,259
fortran,2010,354
fortran,2011,570
fortran,2012,975
fortran,2013,1256
fortran,2014,1401
fortran,2015,1384
fortran,2016,724
go,2009,215
go,2010,273
go,2011,544
go,2012,1383
go,2013,2865
go,2014,5519
go,2015,6929
go,2016,5660
grails,2008,191
grails,2009,1340
grails,2010,3067
grails,2011,4974
grails,2012,5665
grails,2013,5779
grails,2014,6191
grails,2015,4586
grails,2016,2231
groovy,2008,269
groovy,2009,1091
groovy,2010,1818
groovy,2011,3318
groovy,2012,3210
groovy,2013,3155
groovy,2014,3777
groovy,2015,3311
groovy,2016,2309
gruntjs,2012,213
gruntjs,2013,2052
gruntjs,2014,3401
gruntjs,2015,2771
gruntjs,2016,1277
haskell,2008,260
haskell,2009,1730
haskell,2010,3170
haskell,2011,5917
haskell,2012,6575
haskell,2013,6692
haskell,2014,7597
haskell,2015,6042
haskell,2016,3956
html,2008,6086
html,2009,28970
html,2010,50076
html,2011,88549
html,2012,119505
html,2013,158269
html,2014,173098
html,2015,164895
html,2016,109707
ios,2008,231
ios,2009,1128
ios,2010,6005
ios,2011,53495
ios,2012,106284
ios,2013,118323
ios,2014,113699
ios,2015,121835
ios,2016,72499
iphone,2008,1813
iphone,2009,27739
iphone,2010,66276
iphone,2011,95772
iphone,2012,72947
iphone,2013,46253
iphone,2014,22157
iphone,2015,17736
iphone,2016,8558
java,2008,16885
java,2009,74697
java,2010,127210
java,2011,200922
java,2012,253335
java,2013,293025
java,2014,281715
java,2015,260458
java,2016,159859
javascript,2008,10381
javascript,2009,52938
javascript,2010,98939
javascript,2011,182813
javascript,2012,243507
javascript,2013,299872
javascript,2014,319694
javascript,2015,334716
javascript,2016,234651
jquery,2008,2922
jquery,2009,36734
jquery,2010,85303
jquery,2011,159984
