tag1,ASP.NET,AWK,ActionScript,Android,Assembly,Bash,BlackBerry,C,C#,C++,COBOL,CSS,CUDA,Clojure,CoffeeScript,D,Dart,Delphi,Erlang,F#,Flash,Flex,Fortran,Go,Groovy,HTML,Haskell,Java,JavaScript,Julia,LaTeX,Lisp,Lua,MATLAB,Mathematica,Objective-C,Other,PHP,Pascal,Perl,PowerShell,Python,R,Ruby,Rust,SASS,SQL,SVG,Scala,Scheme,Silverlight,Smalltalk,Swift,Tcl,TypeScript,VB.NET,VB6,VBA,VBScript,XSLT,iOS,iPhone
ASP.NET,167576,1492,3785,28473,3089,6814,1553,15835,122008,21876,329,49552,678,1049,2206,357,406,3090,821,2422,7356,2929,605,1503,1694,63371,1630,40548,83558,87,848,929,1347,2565,269,9513,162036,43045,539,5204,7596,19468,2331,11474,282,2048,39025,4542,2658,705,10695,249,2751,433,3643,32128,4086,6480,4764,5562,15018,12448
AWK,1492,15268,489,2966,1121,9920,167,4573,3155,4584,79,3204,299,413,327,132,70,373,294,204,676,336,487,608,509,4826,698,5852,5453,106,648,469,493,1237,162,1390,14888,4893,164,4149,839,6544,1879,1728,110,200,4707,594,843,336,239,85,364,526,129,961,269,695,486,667,1463,1229
ActionScript,3785,489,24623,6485,887,1943,409,3579,6230,4697,83,7303,218,366,584,160,147,625,281,353,14613,7752,207,480,491,8915,530,7882,11337,32,268,337,581,703,102,2948,23189,9286,153,1386,604,4420,549,2579,78,503,6679,1190,794,270,1082,87,824,158,498,1963,503,734,599,762,4532,3662
Android,28473,2966,6485,368491,5701,15551,3832,33481,59532,44137,314,55343,1545,2021,2835,520,832,3480,1334,1322,9742,4442,882,3241,4085,76435,2965,171116,101443,180,1448,1362,2867,6100,442,26405,351949,76278,720,7319,4087,43127,4133,16814,617,2793,60477,6321,6568,1110,4949,305,11220,744,2980,12602,2201,4930,2729,4284,50781,30795
Assembly,3089,1121,887,5701,21176,3915,335,12322,7203,11556,159,4604,862,562,318,395,116,1278,476,619,1332,573,615,796,483,6496,1364,9888,7847,83,552,825,966,1724,220,3085,20895,6427,471,2342,886,7537,1013,2003,309,205,5368,736,1038,727,935,179,812,340,271,2308,789,965,685,763,2963,2657
Bash,6814,9920,1943,15551,3915,70312,708,19042,14426,19989,205,17711,1030,1490,1802,433,295,1298,1060,719,3216,1390,1185,2328,2049,24086,2488,27952,28996,265,1888,1442,1625,3917,457,6632,69248,24479,473,9512,2768,28085,4503,9018,551,1428,22007,2648,3341,1063,1166,230,2252,1046,887,3663,897,2319,1479,2297,8307,6464
BlackBerry,1553,167,409,3832,335,708,6492,1370,2252,1687,43,2055,90,164,153,57,41,277,111,117,748,392,83,160,309,2747,174,3886,3259,11,93,111,179,236,34,1521,6311,2597,69,524,263,1441,166,879,28,139,2170,334,364,99,463,39,369,56,115,808,233,267,247,355,2097,2242
C,15835,4573,3579,33481,12322,19042,1370,158631,37875,72557,373,26223,3367,2146,1733,924,453,3255,1699,1827,5457,2430,2099,3316,2244,37491,4751,58083,46723,374,2294,2517,3462,8900,800,16358,152851,36428,1010,9937,3720,43747,5113,10674,1077,1132,31420,3523,4747,2098,3654,440,5129,1207,1355,9592,2489,4169,2505,3227,17619,14614
C#,122008,3155,6230,59532,7203,14426,2252,37875,387044,56643,490,66624,1916,2196,2957,795,701,5495,1536,3924,10328,4510,1291,3048,3254,91698,3915,86358,123226,221,1859,2000,3140,7079,626,18904,376761,70829,1072,9373,12389,42790,4969,17075,732,2478,64101,6240,5858,1517,16820,452,6299,880,5261,38986,5783,10984,6455,7974,28592,20955
C++,21876,4584,4697,44137,11556,19989,1687,72557,56643,233959,407,33276,4432,2285,2051,1060,577,4289,1731,2284,7052,3056,2273,3573,2638,47106,5115,73577,60512,449,2659,2554,4141,11496,932,18398,225978,44939,1136,10451,4942,53706,6551,12267,1169,1326,38408,4385,5728,2066,5368,454,5833,1279,1944,13247,3216,5528,3186,4013,21787,16808
