tag,year,count,pct
ASP.NET,2008,15349,1.9149459101700856
ASP.NET,2009,70162,1.8858319356642155
ASP.NET,2010,89784,1.4431909913402754
ASP.NET,2011,125193,1.2289683245152543
ASP.NET,2012,124885,0.9451659926725322
ASP.NET,2013,125496,0.7879787405977954
ASP.NET,2014,101542,0.6308209151842139
ASP.NET,2015,83982,0.509760113744573
ASP.NET,2016,56599,0.47737719275827933
AWK,2008,122,0.015220757120382466
AWK,2009,940,0.025265557132413023
AWK,2010,1901,0.03055673699699126
AWK,2011,3161,0.0310302402993196
AWK,2012,6462,0.04890629494855189
AWK,2013,10835,0.0680320460761866
AWK,2014,12614,0.0783633868166244
AWK,2015,10714,0.06503262435592573
AWK,2016,7632,0.06437115028765858
ActionScript,2008,1100,0.13723633469197305
ActionScript,2009,8344,0.22427213692856834
ActionScript,2010,14365,0.23090348603986297
ActionScript,2011,20741,0.20360588865807905
ActionScript,2012,18008,0.13628978016612853
ActionScript,2013,16105,0.1011219291238565
ActionScript,2014,11410,0.0708836406831841
ActionScript,2015,7361,0.04468033861153344
ActionScript,2016,2672,0.022536650100710653
Android,2008,147,0.018339764727018218
Android,2009,5232,0.14062701586892015
Android,2010,67052,1.0777960700274898
Android,2011,225955,2.218107544078697
Android,2012,339636,2.570464003581921
Android,2013,396798,2.491460989288296
Android,2014,407502,2.531571020655468
Android,2015,406890,2.469770816145475
Android,2016,302657,2.552722645782479
Assembly,2008,486,0.060633507872999
Assembly,2009,2688,0.07224874209779383
Assembly,2010,4749,0.07633558337649211
Assembly,2011,6178,0.060646891670103294
Assembly,2012,7632,0.057761195148150424
Assembly,2013,9690,0.0608426881844253
Assembly,2014,9218,0.05726602978243568
Assembly,2015,9225,0.05599458275932563
Assembly,2016,5661,0.047746997088369394
Bash,2008,1290,0.16094079250240476
Bash,2009,5680,0.15266847288521912
Bash,2010,10534,0.16932386508485323
Bash,2011,17343,0.1702491165805441
Bash,2012,27324,0.20679597696908572
Bash,2013,38799,0.24361563043008433
Bash,2014,45205,0.28083216275927586
Bash,2015,42251,0.25645822397444634
Bash,2016,31586,0.26640816994051153
BlackBerry,2008,129,0.016094079250240475
BlackBerry,2009,1566,0.042091343052509354
BlackBerry,2010,3432,0.05516608173260074
BlackBerry,2011,6660,0.065378487944786
BlackBerry,2012,5572,0.0421705161642419
BlackBerry,2013,2250,0.014127559175950148
BlackBerry,2014,674,0.004187166855430858
BlackBerry,2015,313,0.0018998703960616719
BlackBerry,2016,68,0.0005735375025629957
C,2008,7387,0.9216043676087318
C,2009,36657,0.9852760934073023
C,2010,65512,1.0530420589936305
C,2011,82862,0.8134222624746033
C,2012,101947,0.7715645390157877
C,2013,125425,0.7875329376193543
C,2014,119904,0.7448932561329104
C,2015,112455,0.6825876210514866
C,2016,65138,0.5493983212051238
C#,2008,35206,4.3923112719687305
C#,2009,182369,4.901759987958543
C#,2010,260827,4.192541841511962
C#,2011,362890,3.5623422658083173
C#,2012,409838,3.1017731521393705
C#,2013,455276,2.8586393917288353
C#,2014,415817,2.5832272408378234
C#,2015,389428,2.3637786856150313
C#,2016,272791,2.3008216009067963
C++,2008,18485,2.3061942243464744
C++,2009,77545,2.0842740721627315
C++,2010,129381,2.0796744815400983
C++,2011,170479,1.673522409360236
C++,2012,194080,1.468853872425712
C++,2013,234328,1.4713256384809095
C++,2014,219443,1.3632707066117415
C++,2015,205883,1.249683759592221
C++,2016,130294,1.098948461160926
COBOL,2008,56,0.006986577038864082
COBOL,2009,247,0.00663892831032555
COBOL,2010,272,0.004372137013772553
COBOL,2011,311,0.0030529594220463133
COBOL,2012,317,0.00239914817373738
COBOL,2013,397,0.002492729330156537
COBOL,2014,442,0.0027458868695852214
COBOL,2015,409,0.002482578249166849
COBOL,2016,242,0.0020411187591212496
CSS,2008,5105,0.6369013532750204
CSS,2009,28088,0.7549563497183159
CSS,2010,52620,0.8458156237673226
CSS,2011,102328,1.0045119991612705
CSS,2012,150149,1.1363712906577095
CSS,2013,216399,1.3587509680517493
CSS,2014,242326,1.5054293700432315
CSS,2015,235706,1.4307055960834263
CSS,2016,160764,1.355943868559374
CUDA,2008,79,0.009856064036968974
CUDA,2009,247,0.00663892831032555
CUDA,2010,1017,0.016347291702230465
CUDA,2011,2816,0.02764351682470231
CUDA,2012,4428,0.03351239152463444
CUDA,2013,5082,0.0319094469920794
CUDA,2014,3562,0.022128617713716197
CUDA,2015,3111,0.018883376364689654
CUDA,2016,2126,0.017931481330131307
Clojure,2008,141,0.017591202901425636
Clojure,2009,1292,0.03472670193093364
Clojure,2010,2907,0.046727214334694164
Clojure,2011,3991,0.039178009817964106
Clojure,2012,5504,0.04165587239195754
Clojure,2013,6159,0.03867183865096754
Clojure,2014,6009,0.037330394116148406
Clojure,2015,5244,0.03183041647587031
Clojure,2016,3744,0.031578300141115526
CoffeeScript,2009,3,8.063475680557348e-05
CoffeeScript,2010,71,0.0011412563528597473
CoffeeScript,2011,2172,0.021321633005416694
CoffeeScript,2012,4456,0.0337243036661633
CoffeeScript,2013,5285,0.03318406677550957
CoffeeScript,2014,4464,0.027732214900064316
CoffeeScript,2015,3271,0.019854556119864947
CoffeeScript,2016,1599,0.013486565685268091
D,2008,93,0.011602708296684994
D,2009,330,0.008869823248613082
D,2010,455,0.007313685078185705
D,2011,991,0.009728240473465904
D,2012,917,0.006940122635069961
D,2013,876,0.0055003297058365905
D,2014,944,0.0058645185630960385
D,2015,782,0.004746641053419257
D,2016,452,0.003812337517036383
Dart,2011,86,0.0008442267212089484
Dart,2012,1128,0.008537031987305252
Dart,2013,3654,0.02294315610174304
Dart,2014,5768,0.03583320240671393
Dart,2015,2436,0.014786211772543875
Dart,2016,1056,0.008906700039801816
Delphi,2008,2447,0.3052884645375073
Delphi,2009,11006,0.29582204446738053
Delphi,2010,13538,0.21761026063401773
Delphi,2011,16750,0.16442787884011495
Delphi,2012,14361,0.10868822373199533
Delphi,2013,14274,0.08962523541222774
Delphi,2014,12050,0.07485958547172379
Delphi,2015,10545,0.06400681573952181
Delphi,2016,6064,0.05114605022855891
Erlang,2008,195,0.024328259331758858
Erlang,2009,1553,0.04174192577301854
Erlang,2010,1940,0.03118362428940718
Erlang,2011,2548,0.02501267076326047
Erlang,2012,2643,0.020002992502170018
Erlang,2013,2608,0.01637541081372355
Erlang,2014,2738,0.017009588798471347
Erlang,2015,2399,0.014561626454159588
Erlang,2016,1707,0.01439747818933873
F#,2008,449,0.05601737661517809
F#,2009,2007,0.05394465230292866
F#,2010,3620,0.058187999962708244
F#,2011,4109,0.04033636741218103
F#,2012,3509,0.02655713230802671
F#,2013,3567,0.022396890480272966
F#,2014,4002,0.024862079755837232
F#,2015,4138,0.02511713641822108
F#,2016,2854,0.024071706357570437
Flash,2008,1784,0.2225723828095272
Flash,2009,9550,0.2566873091644089
Flash,2010,14524,0.23345925730894324
Flash,2011,18495,0.18155782800883138
Flash,2012,14315,0.10834008235662648
Flash,2013,10917,0.06854691712171011
Flash,2014,8438,0.05242034707140294
Flash,2015,5387,0.03269840838205823
Flash,2016,2278,0.019213506335860355
Flex,2008,1637,0.20423261808250898
Flex,2009,9865,0.2651539586289941
Flex,2010,13723,0.22058395676470863
Flex,2011,16052,0.15757589917262838
Flex,2012,10208,0.07725711216880497
Flex,2013,6145,0.03858393383831718
Flex,2014,2862,0.017779928101250914
Flex,2015,1590,0.009651098817054499
Flex,2016,539,0.0045461281453155105
Fortran,2008,85,0.010604625862561553
Fortran,2009,453,0.012175848277641595
Fortran,2010,780,0.01253774584831835
Fortran,2011,1314,0.012898998972890211
Fortran,2012,1984,0.015015488885473067
Fortran,2013,2694,0.01691539752000431
Fortran,2014,3021,0.01876770188465374
Fortran,2015,3325,0.02018232928723661
Fortran,2016,2011,0.01696152820079683
Go,2009,333,0.008950458005418657
Go,2010,472,0.007586943641546489
Go,2011,1061,0.010415401758170862
Go,2012,2661,0.020139221736009995
Go,2013,5658,0.03552610214112264
Go,2014,9946,0.061788666979399574
Go,2015,12466,0.0756670426750952
Go,2016,11057,0.09325888479175064
Groovy,2008,346,0.043167065275838794
Groovy,2009,1525,0.04098933470949985
Groovy,2010,2566,0.0412459690343396
Groovy,2011,4771,0.046834949847533634
Groovy,2012,4994,0.037796044099824844
Groovy,2013,5283,0.03317150894513095
Groovy,2014,7091,0.04405222577427331
Groovy,2015,6328,0.03841015931718294
Groovy,2016,4607,0.038857165798642956
HTML,2008,7241,0.903389363185979
HTML,2009,38884,1.0451339612093062
HTML,2010,71930,1.1562052036788961
HTML,2011,136219,1.3372060434460666
HTML,2012,198036,1.4987940307074317
HTML,2013,288464,1.8112409911694594
HTML,2014,334166,2.0759774471986767
HTML,2015,327927,1.9904753973460572
HTML,2016,231165,1.9497323055878661
Haskell,2008,369,0.04603655227394369
Haskell,2009,2274,0.06112114565862469
Haskell,2010,5016,0.08062735022457032
Haskell,2011,10149,0.09962856969243741
Haskell,2012,12291,0.09302186184039792
Haskell,2013,13058,0.08199007454202535
Haskell,2014,15602,0.09692607904811906
Haskell,2015,13857,0.08411023667165043
Haskell,2016,8915,0.07519245346101627
Java,2008,21048,2.6259548841787717
Java,2009,100462,2.7002429794005076
Java,2010,189257,3.042123289763059
Java,2011,317076,3.1126050215587036
Java,2012,434190,3.286076168943322
Java,2013,547786,3.4395018358920124
Java,2014,573183,3.5608499402024116
Java,2015,556371,3.3771015722914646
Java,2016,366066,3.087537932547435
